"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";
"A_PWR";"3x2M";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";
"C1";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C10";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C11";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C12";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C13";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C14";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C15";"22p";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C16";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C17";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C18";"10u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C19";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C20";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C21";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C22";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C23";"100n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C24";"100p";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C25";"10n";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";"";
"C26";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C27";"100n";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C35";"1u";"C-EU0603-RND";"C0603-ROUND";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"D1";"M7";"DIODE-SMB";"SMB";"DIODE";"";"";"";"";"";"";"";
"D2";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";
"D3";"CD1206-S01575";"DIODE-MINIMELF";"MINIMELF";"DIODE";"";"";"";"";"";"";"";
"F1";"MF-MSMF050-2 500mA";"L-EUL1812";"L1812";"INDUCTOR, European symbol";"";"";"";"";"";"";"";
"FD1";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";
"FD2";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";
"FD3";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";
"FD4";"FIDUCIALMOUNT";"FIDUCIALMOUNT";"FIDUCIA-MOUNT";"";"";"";"";"";"";"";"";
"GROUND";"";"SJ";"SJ";"SMD solder JUMPER";"";"";"";"";"";"";"";
"IC1";"NCP1117ST50T3G";"MC33269ST-3.3T3";"SOT223";"Adjustable Output Low Dropout Voltage Regulator 800 mA";"";"";"";"";"";"";"";
"IC2";"74ABT125DB";"74ABT125DB";"SSOP14";"Quad bus BUFFER, 3-state";"";"";"";"";"";"";"";
"IC3";"ATMEGA2560-16AU";"ATMEGA25602560-16AU";"TQFP100";"MICROCONTROLLER";"";"";"";"";"";"";"";
"IC4";"ATMEGA16U2-MU";"ATMEGA16U2-MU";"MLF32";"";"";"";"";"";"";"";"";
"IC5";"74ABT125DB";"74ABT125DB";"SSOP14";"Quad bus BUFFER, 3-state";"";"";"";"";"";"";"";
